rbp,weight,max_track_weight,n_tracks,tracks
FUS,7.382e-07,4.455e-07,2,FUS_HepG2;FUS_K562
BCCIP,7.263e-07,7.263e-07,1,BCCIP_HepG2
ZC3H11A,7.07e-07,3.583e-07,2,ZC3H11A_K562;ZC3H11A_HepG2
PTBP1,6.779e-07,3.462e-07,2,PTBP1_HepG2;PTBP1_K562
AGGF1,6.518e-07,4.012e-07,2,AGGF1_K562;AGGF1_HepG2
RPS11,6.518e-07,6.518e-07,1,RPS11_K562
EIF3D,6.456e-07,6.456e-07,1,EIF3D_HepG2
DDX42,6.452e-07,6.452e-07,1,DDX42_K562
TBRG4,6.403e-07,3.877e-07,2,TBRG4_K562;TBRG4_HepG2
BUD13,6.358e-07,3.554e-07,2,BUD13_HepG2;BUD13_K562
EIF3G,6.198e-07,6.198e-07,1,EIF3G_K562
SF3B1,5.98e-07,5.98e-07,1,SF3B1_K562
DDX6,5.942e-07,3.211e-07,2,DDX6_HepG2;DDX6_K562
SUGP2,5.872e-07,5.872e-07,1,SUGP2_HepG2
TIAL1,5.764e-07,5.764e-07,1,TIAL1_HepG2
NKRF,5.758e-07,5.758e-07,1,NKRF_HepG2
SAFB2,5.486e-07,5.486e-07,1,SAFB2_K562
DDX21,5.257e-07,5.257e-07,1,DDX21_K562
FUBP3,5.247e-07,5.247e-07,1,FUBP3_HepG2
CSTF2,5.241e-07,5.241e-07,1,CSTF2_HepG2
RBM5,5.168e-07,5.168e-07,1,RBM5_HepG2
EWSR1,5.167e-07,5.167e-07,1,EWSR1_K562
SFPQ,5.006e-07,5.006e-07,1,SFPQ_HepG2
APOBEC3C,4.904e-07,4.904e-07,1,APOBEC3C_K562
NONO,4.869e-07,4.869e-07,1,NONO_K562
SBDS,4.858e-07,4.858e-07,1,SBDS_K562
GPKOW,4.82e-07,4.82e-07,1,GPKOW_K562
KHDRBS1,4.806e-07,4.806e-07,1,KHDRBS1_K562
AATF,4.66e-07,4.66e-07,1,AATF_K562
PCBP2,4.65e-07,4.65e-07,1,PCBP2_HepG2
SUB1,4.581e-07,4.581e-07,1,SUB1_HepG2
CPSF6,4.577e-07,4.577e-07,1,CPSF6_K562
ZRANB2,4.575e-07,4.575e-07,1,ZRANB2_K562
NSUN2,4.532e-07,4.532e-07,1,NSUN2_K562
RBM15,4.522e-07,2.457e-07,2,RBM15_HepG2;RBM15_K562
DDX24,4.384e-07,4.384e-07,1,DDX24_K562
DDX51,4.25e-07,4.25e-07,1,DDX51_K562
AKAP8L,4.195e-07,4.195e-07,1,AKAP8L_K562
SLBP,4.079e-07,4.079e-07,1,SLBP_K562
CDC40,4.063e-07,4.063e-07,1,CDC40_HepG2
PUM2,4.007e-07,4.007e-07,1,PUM2_K562
SF3A3,3.989e-07,3.989e-07,1,SF3A3_HepG2
TARDBP,3.823e-07,3.823e-07,1,TARDBP_K562
DDX59,3.818e-07,3.818e-07,1,DDX59_HepG2
NIPBL,3.778e-07,3.778e-07,1,NIPBL_K562
FKBP4,3.766e-07,3.766e-07,1,FKBP4_HepG2
WDR3,3.746e-07,3.746e-07,1,WDR3_K562
AARS,3.655e-07,3.655e-07,1,AARS_K562
WRN,3.643e-07,3.643e-07,1,WRN_K562
DKC1,3.346e-07,3.346e-07,1,DKC1_HepG2
PHF6,3.324e-07,3.324e-07,1,PHF6_K562
GRSF1,3.171e-07,3.171e-07,1,GRSF1_HepG2
XPO5,3.134e-07,3.134e-07,1,XPO5_HepG2
NPM1,3.124e-07,3.124e-07,1,NPM1_K562
GEMIN5,3.078e-07,3.078e-07,1,GEMIN5_K562
YWHAG,3.065e-07,3.065e-07,1,YWHAG_K562
ZC3H8,2.971e-07,2.971e-07,1,ZC3H8_K562
PPIL4,2.968e-07,2.968e-07,1,PPIL4_K562
PRPF4,2.93e-07,2.93e-07,1,PRPF4_HepG2
PUS1,2.926e-07,2.926e-07,1,PUS1_K562
GNL3,2.663e-07,2.663e-07,1,GNL3_K562
CPEB4,2.597e-07,2.597e-07,1,CPEB4_K562
UTP3,2.584e-07,2.584e-07,1,UTP3_K562
MTPAP,2.322e-07,2.322e-07,1,MTPAP_K562
PABPC4,1.98e-07,1.98e-07,1,PABPC4_K562
